Advanced STEAM,Science,MS,Dawn Ruiz,"This class is designed for students who have previous experience with STEAM projects and want to take a deeper dive into the engineering design process. Students will be presented with design challenges and will be expected to complete research and planning outside of class time. Materials will be provided for project building and improvement to be completed during class time. Students should have a teacher recommendation or portfolio and be concurrently enrolled in pre-algebra or higher.  Estimated out-of-class homework time: 1 hour/week","7,8,9","7,8",Thursday,11:30,13:00,60,11,12 
Algebra 1 (HS),Math,HS,Becky Gore,"This class will cover the standards required for a high school credit in Algebra 1. Topics include algebraic equations, functions and relations, systems of equations, linear, quadratic and exponential functions, and radical and rational equations. This class meets on both Tuesdays AND Thursdays. The textbook for this class is included in the class fee.  Estimated out-of-class homework time: 4 hours/week","8,9,10",9,Tuesday/Thursday,8:30, 9:45,50,9,15
Algebra 2 (HS),Math,HS,Elizabeth Bills,"This class will cover the topics normally covered in a high school Algebra 2 course. This course is designed to qualify for a high school math credit in Algebra 2 and meets on Tuesdays AND Thursdays. Algebra 1 credit is a required prerequisite. The textbook for this class is included in the class fee.  Estimated out-of-class homework time: 4 hours/week","9,10,11,12","10,11",Tuesday/Thursday,8:30, 9:45,50,9,15
American Sign Language (ASL) 1 (HS),World Languages,HS,Heather Olmstead,"Designed to introduce beginner students to American Sign Language. This course is designed to qualify for one year of a high school language credit.  Estimated out-of-class homework time: 1 hours/week","8,9,10,11","8,9,10,11",Thursday,13:00,14:30,30,9,15
American Sign Language (ASL) 2 (HS) ,World Languages,HS,Heather Olmstead,"ASL 2 develops knowledge of fingerspelling, vocabulary, and grammatical structures, and expands visual receptive and gestural expressive skills in order to comprehend and express essential ideas in ASL. This course is designed to qualify for one year of high school language credit.  Estimated out-of-class homework time: 1-2 hours/week","9,10,11,12","9, 10, 11, 12 ",Thursday,11:30,13:00,30,9,15
Art around the World,Social Studies,MS,Evelyn Thoen,"Art Around the World will explore the history of art through time and place. Students will learn about various cultures around the world and explore the lives of famous artists. In this class, we will move from continent to continent, encountering art and architecture while learning what drives humans to create. We will explore key artists and movements from ancient art to the modern day, and create hands-on projects inspired by the artists we learn about.  Estimated out-of-class homework time: 1-2 hours/week","5,6,7","5,6",Thursday,11:30,13:00,30,11,15
Astronomy and Space Physics,Science ,HS,John Dvorachek,"Students will learn the fundamental concepts of astrophysics from a conceptual standpoint. While there will be math used in the course, it will not be a math-based physics class. Core concepts will be gravity, the electromagnetic spectrum, spacetime, cosmic distances, star formation, general and special relativity, and quantum dynamics. Additionally, some observational astronomy projects will be performed. This class will qualify for a high school science credit. Prerequisite: students must have completed Algebra 1 prior to enrolling in this class.  Estimated out-of-class homework time: 3 hours/week","10,11,12","10,11,12",Tuesday,13:00,14:30,40,9,15
Biology (HS),Science,HS,Mary West,"This course will give students a general introduction to a range of topics including basic biological concepts, the chemistry of life, structure and function of prokaryotic and eukaryotic cells, DNA and gene expression, cellular replication (mitosis and meiosis), cellular respiration, photosynthesis, and modern applications of biotechnology. This class will meet the Tennessee high school graduation requirement for biology with a lab.  Estimated out-of-class homework time: 2 hours/week","9,10","9,10",Thursday,13:00,14:30,40,9,15
Biology (MS) ,Science,MS,Brenda Wolff,"In this class, students will explore the diverse realm of biology (with a focus on human biology) on a microscopic and macroscopic level: from unicellular to complex organisms, DNA to proteins, cellular to organism metabolism, human cells to body systems.  Estimated out-of-class homework time: 3-4 hours/week","7,8","7,8",Tuesday,13:00,14:30,40,11,15
Book Club,English Language Arts,MS,Martha Guess,"Students will read great books from multiple genres and analyze literary elements through critical thinking, group discussions, writing assignments, and creative response to reading. They will explore the habits of good readers and how to get more out of the books they read. This class is an elective and not an all-encompassing English Language Arts class and should be accompanied by an additional grammar, usage, and writing mechanics curriculum of parents' choice.  Estimated out-of-class homework time: 1-2 hours/week","5,6,7,8","5,6,7,8",Tuesday,9:45,11:00,15,11,15
Chemistry (HS),Science,HS,Jansen Gibson,"Students will learn the fundamentals of chemistry, from the atomic to the universal scale. Discussions will include real-life applications of environmental, organic, biological, and industrial chemistry, and integrate hands-on labs and experiments to make our understanding of the chemical world tactile and “explosive.” This class will meet the Tennessee high school graduation requirement for chemistry with a lab. Textbook included in class fee.  Estimated out-of-class homework time: 3 hours/week","10,11,12","10,11,12",Thursday,11:30,13:00,40,9,15
Chemistry (MS) ,Science,MS,Jansen Gibson,"Students will investigate the world of atoms, molecules, reactions, explosions, energy, and more through a lab-based exploration of chemistry. This class will focus on the major concepts underlying chemistry, including physical and chemical properties, the structure of simple and complex compounds, polarity, energy, and reactivity. Textbook included in class fee.  Estimated out-of-class homework time: 2 hours/week","6,7","6,7",Tuesday,11:30,13:00,40,11,15
Choir - Section 1,Elective,MS/HS,Shannon Dilks,"Students will learn to be confident in their singing voice and be able to demonstrate proper vocal techniques. Students will be exposed to choral elements, such as ensemble singing, blend, and vocal techniques. Students will sing and perform a variety of music. Students will grow a love and appreciation for music and its influence in society.  Estimated out-of-class homework time: 30 mins/week, plus rehearsals and performances ","5,6,7,8,9,10,11,12","5,6,7,8",Tuesday,11:30,13:00,30,11,30
Choir - Section 2,Elective,MS/HS,Shannon Dilks,"Students will learn to be confident in their singing voice and be able to demonstrate proper vocal techniques. Students will be exposed to choral elements, such as ensemble singing, blend, and vocal techniques. Students will sing and perform a variety of music. Students will grow a love and appreciation for music and its influence in society.  Estimated out-of-class homework time: 30 mins/week, plus rehearsals and performances","5,6,7,8,9,10,11,12","9,10,11,12",Tuesday,13:00,14:30,30,11,30
Finance (Fall) / Test Prep (Spring) ,Elective,HS,John Dvorachek & Elizabeth Bills,"This class prepares students for standardized college admissions tests and introduces financial topics such as budgeting, finance, interest, taxes, etc. This class will qualify students for the high school finance credit (0.5) requirement.  Estimated out-of-class homework time: 2-3 hours/week","10,11,12","10,11,12",Thursday,11:30,13:00,50,9,15
General Science,Science,MS,Dawn Ruiz,"Covers science via discrete units of study with an emphasis on the scientific method and familiarization with scientific vocabulary. Units will include scientific method, life sciences, human anatomy and physiology, earth/space sciences, chemistry and physics.  Estimated out-of-class homework time: 1-2 hours/week","5,6","5,6",Tuesday,11:30,13:00,40,11,15
Geometry,Math,HS,Elizabeth Bills,"Will cover the topics normally covered in a high school Geometry course. This course is designed to qualify for a high school math credit in Geometry and meets on Tuesdays AND Thursdays.  Algebra 1 is a prerequisite. The textbook for this class is included in the class fee.  Estimated out-of-class homework time: 4 hours/week","9,10,11,12","10,11,12",Tuesday/Thursday,9:45,11:00,50,9,15
Government & Civics/Economics,Social Studies,HS,Jenny Conatser & John Dvorachek,"This class will explore the structure and function of the US government and politics. We will cover such topics as the Constitution, civil rights, interest groups, politics, voting, Congress, the presidency, the judiciary, laws, public policies, state & local government, and current events. Additionally, students will learn how a citizen participates productively in society and the basics of macroeconomics. They will develop an understanding of how economic forces interact with government policy.  Throughout the class, a focus will be given to political philosophy and the civic relationship between the citizen and the state. This will qualify for 1 HS social studies credit in government, civics, and economics.  Estimated out-of-class homework time: 1-2 hours/week","9,10,11,12","10,11,12",Thursday,13:00,14:30,30,9,15
History of Civilizations ,Social Studies,HS,John Dvorachek,"The course examines the study of human civilization through a variety of historical and cultural anthropological lenses. Students will learn what we ""know"" about the story of civilization, what we ""think"" we know, and what we know that we really haven't a clue about. As technological developments continually improve, our archeological history is constantly redefining itself. Put on your fedoras; we’re going full Indiana Jones here! This course is designed to qualify for a high school social studies credit.  Estimated out-of-class homework time: 3 hours/week","9,10,11,12","9,10,11,12",Tuesday,11:30,13:00,30,9,15
Identity and Imagination (Middle School ELA),English Language Arts,MS,Caiden Leavitt,"Middle school is often a time of numerous questions. Who am I? What is important to me? One of the best ways to explore these questions is in the literary realm, where we can begin to imagine who we might want to be or what world we want to live in. In this course, we will read classics like “The Giver,” “Tuck Everlasting,” and “Walk Two Moons,” and we will hone students’ skills as writers through both expository and creative assignments. This class meets on Tuesday AND Thursday.  Estimated out-of-class homework time: 1-2 hours/week","6,7","6,7",Tuesday/Thursday,8:30, 9:45,15,11,15
Intro to Spanish - Section 2,World Languages,MS,Rowena Aldridge,"Intro to Spanish is designed to give the novice second-language student a taste of the Spanish speaking world, while making the language accessible and comprehensible. Students will learn basic vocabulary, grammar, and sentence structure through listening, speaking, reading, and writing in Spanish. Students will also learn about a variety of Spanish-speaking countries and their cultures, which can help them to understand the language and its usage in the real world. The goal of the course is to give students a foundation in Spanish language and culture, and to prepare them for further study of the language.  Estimated out-of-class homework time: 3 hours/week","5,6,7,8","5,6,7,8",Tuesday,13:00,14:30,30,11,15
Intro to Spanish - Section 1,World Languages,MS,Rowena Aldridge,"Intro to Spanish is designed to give the novice second-language student a taste of the Spanish speaking world, while making the language accessible and comprehensible. Students will learn basic vocabulary, grammar, and sentence structure through listening, speaking, reading, and writing in Spanish. Students will also learn about a variety of Spanish-speaking countries and their cultures, which can help them to understand the language and its usage in the real world. The goal of the course is to give students a foundation in Spanish language and culture, and to prepare them for further study of the language.  Estimated out-of-class homework time: 3 hours/week","5,6,7,8","5,6,7,8",Tuesday,11:30,13:00,30,11,15
Journalism/Yearbook,Elective,HS,Anna Boneh,"Calling all aspiring writers, photographers, graphic designers, and young editors. In this course we will tackle two important tasks, the WEB yearbook and the inaugural year of our WEB newspaper. Students will have the opportunity to experience each of the many roles that bring a printed project together, as well as discover and hone hidden talents. Syllabus will include intro to photography, basics of graphic design, interviewing skills, journalism, layout, and editing. Access to a laptop and basic computer skills (create documents, cut & paste) is helpful.  Estimated out-of-class homework time: 4 hours/week","7,8,9,10,11,12","9,10,11,12",Tuesday,13:00,14:30,15,11,15
Literature 1 (HS),English Language Arts,HS,Jenny Conatser,"Designed with freshmen in mind, this class will focus on learning how to analyze literary elements in a variety of literature from diverse authors. In a discussion-oriented class, students will have weekly reading and journaling assignments and will complete both informal and formal writing, including creative pieces and expository essays. This class meets Tuesday AND Thursday and will qualify for 1 credit of high school ELA.  Estimated out-of-class homework time: 3-4 hours/week","9,10,11",9,Tuesday/Thursday,9:45,11:00,15,9,15
Literature 2/3 (HS) - section 2,English Language Arts,HS,Bea Troxel,"Every voice matters in the discussion of literature: both the reader's and author’s voices. In this class, we will discuss a diverse spread of literature and synthesize it through class discussions. Students will write several analytical papers while also completing various creative responses that allow them to examine these books in different manners. We will be looking at literary devices such as tone, figurative language, symbolism, and artistic design. Each student should be ready to bring their knowledge, experience, and creativity to each class, as we all benefit from the various voices and ideas in the room. This class meets Tuesday AND Thursday and will meet the Tennessee high school graduation requirement for one year of ELA.  Estimated out-of-class homework time: 3-4 hours/week","10,11,12","10,11",Tuesday/Thursday,9:45,11:00,15,9,15
Literature 2/3 (HS) - section 1,English Language Arts,HS,Bea Troxel,"Every voice matters in the discussion of literature: both the reader's and author’s voices. In this class, we will discuss a diverse spread of literature and synthesize it through class discussions. Students will write several analytical papers while also completing various creative responses that allow them to examine these books in different manners. We will be looking at literary devices such as tone, figurative language, symbolism, and artistic design. Each student should be ready to bring their knowledge, experience, and creativity to each class, as we all benefit from the various voices and ideas in the room. This class meets Tuesday AND Thursday and will meet the Tennessee high school graduation requirement for one year of ELA.  Estimated out-of-class homework time: 3-4 hours/week","10,11,12","10,11",Tuesday/Thursday,8:30, 9:45,15,9,15
Magic & Monsters,English Language Arts,MS,Jenny Conatser,"Designed around a year-long theme of Magic & Monsters, this class will examine various ways in which human beings engage with their fears and discomforts, their hopes and dreams on the written page. Appropriate for students who are comfortable writing three-paragraph essays and connecting themes in literature. This class meets two days a week and can qualify for a high school ELA credit if taken as a 9th grader.  Estimated out-of-class homework time: 3 hours/week","8,9","8,9",Tuesday/Thursday,8:30, 9:45,15,11,15
Math 7 ,Math,MS,Leslie Lutz,"This class will cover 7th-grade math standards, including two-step equations, proportional relationships, slope and graphing equations, percent (markup, discount, interest, etc), scale figures, indirect measurement, probability, and prepare students for pre-algebra. Pre-requisites include being able to do all operations with whole numbers, decimals, and fractions (we will review these), understanding fractions and ratios, finding the perimeter and area of basic shapes, solving simple problems with an unknown (variable), and other 6th-grade standards. This class meets two days a week. The textbook for this class is included in the class fee.  Estimated out-of-class homework time: 3 hours/week","6,7,8",7,Tuesday/Thursday,9:45,11:00,50,11,15
Middle School Math,Math,MS,Leslie Lutz and TBD,"This class is designed to provide a solid foundation in critical mathematics concepts. We will cover multiplication and division of decimals and fractions, as well as geometry, integers (negatives), measurement, ratios, solving simple problems with an unknown (a variable), etc. We hope to meet students where they are and prepare them for advanced mathematical ideas. Pre-requisites include being able to add and subtract all whole numbers, multiplication and division concepts, representing fractions in multiple ways, and all other 4th-grade math skills. This class may be taken twice depending on students' preparedness for the next class. We meet two days a week and the textbook is included in the class fees.  Estimated out-of-class homework time: 3 hours/week","5,6,7","5,6",Tuesday/Thursday,8:30, 9:45,50,11,24
Our Stories (ELA),English Language Arts,MS,Anna Boneh,"Literature gifts us the opportunity to discover a variety of life experiences through stories. This course is designed to explore a wide range of perspectives by contemporary and classical voices. Students will engage in stories through reading, discussion, and the writing of their own stories. Students can expect to expand their creativity, sharpen their writing skills, and have lively class discussions, with diverse points of view, in a welcoming environment. Assignments include class projects, presentations, essays, creative writing, poetry, and grammar work. Reading will span novels, poetry, autobiographies, short stories, and graphic novels.  Estimated out-of-class homework time: 3 hours/week","7,8","7,8",Tuesday/Thursday,8:30, 9:45,15,11,15
Physical Science,Science,MS,TBD,"Students will learn about mechanics, heat, electricity, atomic structure, astronomy, and more. Students should be enrolled in at least Pre-Algebra math concurrently. (Math does not have to be taken at WEB.) This class can qualify as a high school science credit if registered in advance as such with the Board of Education or an umbrella school. Textbook included in class fee.  Estimated out-of-class homework time: 3 hours/week","8,9","8,9",Tuesday,11:30,13:00,40,11,16
Pop Music Appreciation ,Social Studies,MS,Bea Troxel ,"What exactly is pop music? This is the question we will ask as we examine the greats of pop music--The Beatles, Taylor Swift, Destiny's Child, and onward. We will talk about the roots of pop music as we listen to many examples of the genre and see how it changed over time. For anyone interested in musical history, world history, and looking at how music reflects the world we live in, this class will ask big questions about what pop music says about our cultures, our governments, and ourselves.  Estimated out-of-class homework time: 2 hours/week","6,7,8","7,8",Thursday,13:00,14:30,30,11,15
Pre-Algebra,Math,MS,Becky Gore,"This class will cover 8th grade standards designed to prepare students for Algebra 1 and other high school math courses. This is the course where we tick all the boxes to ensure students are ready for high school math. Topics include a review of 7th-grade standards plus exponents, algebraic expressions, equations and inequalities, proportions and percent, functions and graphing in the coordinate plane, geometry concepts, measurement, and probability and statistics. This class meets on both Tuesdays AND Thursdays. The textbook for this class is included in the class fee.  Estimated out-of-class homework time: 3 hours/week","7,8,9",8,Tuesday/Thursday,9:45,11:00,50,11,15
Reading for Writing ,English Language Arts,MS,Rowena Aldridge and TBD,"Reading for Writing is designed to help middle school students improve their literary comprehension and writing skills. The course focuses on teaching students strategies for understanding and analyzing different types of texts, including fiction, nonfiction, and poetry. The course emphasizes the importance of writer's craft such as figurative language, imagery, and tone, in addition to the importance of revision and editing in the writing process. The overall goal of the course is to help students become more confident and capable readers and writers.  Estimated out-of-class homework time: 3 hours/week","5,6","5,6",Tuesday/Thursday,9:45,11:00,15,11,24
SEL Workshop  - Section 1,Elective,MS,Rachel Parker,"With the goal of developing self-awareness and stress management, as well as learning to connect mind, body, and breath, students will engage in a series of social-emotional learning games and activities. Classes will include breathing exercises, mindful movement, art creations, journaling, mindfulness activities, and positive affirmations. All activities are designed to build creativity, compassion, self-awareness, emotional regulation, and social skills.  Estimated out-of-class homework time: 1 hour/week","5,6,7,8,9","5,6,7,8,9",Thursday,9:45,11:00,15,11,15
SEL Workshop  - Section 2,Elective,MS,Rachel Parker,"With the goal of developing self-awareness and stress management, as well as learning to connect mind, body, and breath, students will engage in a series of social-emotional learning games and activities. Classes will include breathing exercises, mindful movement, art creations, journaling, mindfulness activities, and positive affirmations. All activities are designed to build creativity, compassion, self-awareness, emotional regulation, and social skills.  Estimated out-of-class homework time: 1 hour/week","5,6,7,8,9","5,6,7,8,9",Thursday,13:00,14:30,15,11,15 Senior Seminar: Frozen Seas (HS ELA),English Language Arts,HS,Caiden Leavitt,"Kafka said that “A book must be the ax for the frozen sea within us.” In this seminar, we will read and discuss books whose characters remain mysteries to themselves as a way to further understand our own inner worlds. This will include books by literary giants like James Joyce, David Foster Wallace, and Tolstoy. The goal is to prepare students for college level thinking and writing through seminar style discussions and analytical papers. The course will also help students develop their own unique voice in their college application essays and will meet the Tennessee high school graduation requirement for one year of ELA.  Estimated out-of-class homework time: 3 hours/week",12,12,Tuesday,11:30,13:00,15,9,15
Spanish 2 (HS),World Languages,HS,Leslie Near,"Designed to follow high school Spanish 1. A communicative approach is taken to gain skills in speaking, comprehension, reading and writing. This course is designed to qualify for a high school language credit and meets on Tuesdays AND Thursdays. Spanish 1 is a prerequisite or completion of a placement test.  Estimated out-of-class homework time: 4 hours/week","9,10,11,12","10,11,12",Tuesday/Thursday,2:30-3:30,30,9,15
STEAM,Science,MS,"Dawn Ruiz Jansen Gibson","STEAM class will be a hands-on experience. Each week students will be presented with materials and design challenges that incorporate different aspects of STEAM (Science, Technology, Engineering, Arts, and Mathematics). Students will be encouraged to think critically and creatively about how to design and improve their projects.  Estimated out-of-class homework time: less than 1 hour/week","5,6,7","5,6,7",Tuesday,13:00,14:30,60,11,24
Studio Art (HS),Art,HS,Charles Key,"High School Studio Art is designed to encourage and support students in their unique creative journey. An emphasis will be placed on traditional studio development with a strong focus on realistic drawing skills, observational drawing practice, three-dimensional shading, multi-point perspectives, and figure drawing. Completion of this class will satisfy one credit for a high school art class.  Estimated out-of-class homework time: __ hours/week","9,10,11,12","9,10,11,12",Thursday,13:00,14:30,50,9,14
Studio Art Fundamentals,Art,MS,Evelyn Thoen,"Studio Art Fundamentals is designed to encourage and support students in their unique creative journey. An emphasis will be placed on traditional studio development with a strong focus on realistic drawing skills, including three-dimensional shading, perspective, and figure drawing. Students will also explore painting, printmaking, textiles, and sculpture. Recommended for beginning art students.  Estimated out-of-class homework time: 30 minutes - 1 hour/week","5,6,7,8","5,6,7",Thursday,13:00,14:30,50,11,14
Studio Art Intermediate,Art,MS,Charles Key,"Studio Art Intermediate provides a space for artistically motivated, driven and experienced students who are ready to undertake new creative challenges in an independent work environment. During this studio course students will focus on defining their unique artistic voice while learning how to provide, process and utilize constructive feedback in a supportive and nurturing community of fellow artists.  Estimated out-of-class homework time: __ hours/week","6,7,8","7,8",Thursday,11:30,13:00,50,11,12
