ACT Prep/Personal Finance (High School Credit),Elective,Elizabeth Bills,Fall Semester: ACT Prep prepares students for standardized college admissions tests. Students will take practice tests and learn testing techniques to help prepare them for tests. Spring Semester: Personal Finance will present content consistent with that required for 1/2 high school credit. Students may enroll for one or both semesters.,"10,11,12","10,11,12",Tuesday,9:45,11:00,15,11,15,
Advanced Science Survey,Science,Sarah Naguib,"The purpose of Advanced Science Survey is to cover subjects ranging from ecology, chemistry, biology and physics at a deeper dive.","7,8","7,8",Tuesday,11:30,13:00,60,11,15,
Algebra (High School Credit),Math,Becky Gore,Will cover the topics normally covered in a high school Algebra course. This course is designed to qualify for a high school math credit in Algebra 1 and meets on Tuesdays AND Thursdays.  The textbook for this class is included in the class fee.,"8,9,10","8,9,10,11,12",Tuesday/Thursday,8:30,9:45,50,11,15,Uploaded
Algebra 2 (High School Credit),Math,Jeanette Miller,Will cover the topics normally covered in a high school Algebra 2 course. This course is designed to qualify for a high school math credit in Algebra 2 and meets on Tuesdays AND Thursdays. Algebra 1 credit required prerequisite. Geometry credit recommended prerequisite. The textbook for this class is included in the class fee.,"9,10,11,12","9,10,11,12",Tuesday/Thursday,8:30,9:45,50,11,15,
American Literature (High School Credit),Language Arts,TBD,"This course covers American Literature up to and including contemporary literature, with an emphasis on non-traditional texts. Students use analytical and critical thinking skills while examining the various literary forms. Students will be expected to write long form essays as well as other assignments. Recommended concurrent with US History or American Government.","11,12","11,12",Thursday,13:00,14:30,15,0,50,
Award Winning Lit,Language Arts,Alyssa Hayes,Designed for students who can write a strong paragraph and understand plot and detail when reading independently; will focus on writing personal essays. Book selections will be literary award winning books. ,"6,7",6,Tuesday,13:00,14:30,15,11,15,
Being Embodied,Elective,Senae Smith,"With the goal of developing self-awareness, learning to manage stress and to connect mind, body, and breath, students will engage in a series of social-emotional learning games and activities, breathing exercises, mindful movement, art activities, as well as journaling, mindfulness activities, and positive affirmations. All activities will be designed to build creativity, compassion, self-awareness, emotional regulation, and community.  Resources will include brain science videos by Empower, Big Life Journal, This Moment is Your Life, and Yoga Calm for Children.","5,6,7,8","5,6,7,8",Tuesday,9:45,11:00,20,11,15,
Biology  (High School Credit),Science,Mary West,"This course will give students a general introduction to a range of topics including basic biological concepts, the chemistry of life, cell structure, cell cycle, genetics, human genetics and biotechnology. This class will meet the Tennessee high school graduation requirement for biology with a lab and is a prerequisite for upper level science classes at WEB.","9,10",9,Thursday,11:00,12:30,60,11,15,
Biology (Middle School),Science,Veronika Kondev,"In this class, students will explore the diverse realm of biology on a microscopic and macroscopic level: from reptiles to algae, proteins to DNA, photosynthesis to cellular metabolism. ","7,8",7,Tuesday,11:30,13:00,60,11,15,
Chemistry (High School Credit),Science,Lauren Beihoffer,"Students will learn traditional chemistry topics within the context of societal issues and real-world scenarios. Topics of materials science, environmental chemistry, organic chemistry, biochemistry, and industrial chemistry will be explored through the use of integrative, hands-on laboratory procedures. This class will meet the Tennessee high school graduation requirement for chemistry with a lab.","10,11,12","10,11,12",Thursday,11:00,12:30,60,11,15,
Chemistry (Middle School),Science,Lauren Beihoffer,Investigate the world of atoms and molecules through hands-on inquiry-based activities and molecular model animations. Textbook included in class fee.,"6,7",6,Tuesday,11:30,13:00,60,11,15,
Choir,Elective,TBD,"Students will learn to be confident in their singing voice and be able to demonstrate proper vocal techniques. Students will be exposed to choral elements, such as ensemble singing, blend, and vocal techniques. Students will sing and perform a variety of music. Students will grow a love and appreciation for music and its influence in society","5,6,7,8,9,10,11,12","5,6,7,8,9,10,11,12",Tuesday,8:30,9:45,0,11,20,
Diverse Voices (High School Credit),Language Arts,Jilah Kalil,"Designed with freshmen in mind, this class will focus on learning how to analyze literary elements in a variety of literature from diverse authors. A discussion-oriented class, students will have weekly reading and journaling assignments with some essay writing. Recommended concurrent with Writer's Toolkit.","9,10","9,10",Thursday,13:00,14:30,15,11,15,
Fiction Writing,Elective,Carla Diaz,"Students will spend time working on their writing skills both in class and out. We’ll study the structure of story as well as character and plot development and how important they are to a good story. The primary work of this course will be writing, with occasional reading to introduce topics and promote creativity.","5,6,7,8","5,6,7,8",Thursday,13:00,14:30,0,11,15,
French 1 (High School Credit),Foreign Language,Flore Grunwald,"Designed to introduce beginner students to the French language. A communicative approach is taken to gain skills in speaking, comprehension, reading and writing. This course is designed to qualify for a high school language credit and meets on Tuesdays AND Thursdays.","8.9.10,11,12","8,9,10,11,12",Tuesday/Thursday,9:45,11:00,30,11,15,Uploaded
